location,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,40.2/61.0,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,79.9/75.6,17.4/19.0,57.6/2.0,8.8,14.6,5.9,1.3,3.5,111.7/115.5,92.5/98.8,68.1/48.7,22.9,106.4,63.3,130,28.2,5.7/2.0,84,36,94.9/95.2,95.5/90.2,2.96,-99
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,48.1/58.9,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,83.0/78.0,17.1/24.6,1387.9/12.3,63.8,3.5,10.6,3.0,6.6,104.2/104.2,177.7/156.4,85.4/65.0,38.0,115.7,85.1,37,22.6,93.4/8.3,520,196,100.0/100.0,99.5/99.4,-99,-99
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,46.3/58.4,91,91,13648,21830,-8182,2492,-0.4,59.0,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,15.5,3.9,7.8,3.1,4.6,98.1/97.8,100.6/95.9,79.8/58.8,19.9,103.8,69.8,176,34.3,16.8/4.0,182,79,99.6/99.7,97.8/95.8,...,-99
Denmark,NorthernEurope,42921,5734,135.1,99.0,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,58.1/66.0,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,55.4/69.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,54.5/61.7,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3.0,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42.0,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2.0,85.0/78.8,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99
Germany,WesternEurope,357376,82114,235.6,97.0,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5.0,104.7/105.2,99.6/105.6,66.8/69.7,37.0,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,44.1/60.1,86,87,27811,47595,-19784,218,-0.4,78.0,0.5,1.3,83.3/78.0,14.2/26.5,1242.5/11.3,94.7,3.3,8.1,6.3,...,97.1/98.1,103.4/109.5,113.7/114.0,18.3,114.0,66.8,374,31.2,67.3/6.1,368,89,100.0/100.0,99.2/98.1,-99,-99
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,46.6/62.4,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,78.8/71.7,14.3/26.0,449.6/4.6,14.4,4.9,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,10.1,118.9,72.8,66,22.8,42.1/4.3,423,97,100.0/100.0,97.8/98.6,-99,-99
