"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"Totaal goederen","Totaal landen","2021 mei","40.738","46.097","5.359","33,6","35,8"
"Totaal goederen","Totaal landen","2021 juni","44.033","50.799","6.766","24,9","29,5"
"Totaal goederen","Totaal landen","2021 juli","43.261","48.890","5.629","24,3","21,6"
"Totaal goederen","Totaal landen","2021 augustus","42.955","47.161","4.206","34,6","31,9"
"Totaal goederen","Totaal landen","2021 september","46.421","52.181","5.760","26,3","24,0"
"Totaal goederen","Totaal landen","2021 oktober","47.884","51.337","3.454","29,8","16,8"
"Totaal goederen","Totaal landen","2021 november","52.262","56.529","4.267","39,1","30,5"
"Totaal goederen","Totaal landen","2021 december","51.223","54.753","3.530","35,7","28,4"
"Totaal goederen","Totaal landen","2021","527.055","589.202","62.147","24,4","22,1"
"Totaal goederen","Totaal landen","2022 januari*","46.956","49.541","2.585",".","."
"Totaal goederen","Totaal landen","2022 februari*","45.549","48.928","3.379",".","."
"Totaal goederen","Totaal landen","2022 maart*","56.146","60.342","4.196",".","."
"Totaal goederen","Totaal landen","2022 april*","53.801","57.119","3.318",".","."
"Totaal goederen","EU (exclusief Nederland)","2021 mei","19.898","29.995","10.097","35,3","38,3"
"Totaal goederen","EU (exclusief Nederland)","2021 juni","21.740","32.431","10.691","25,2","31,0"
"Totaal goederen","EU (exclusief Nederland)","2021 juli","20.925","31.732","10.807","20,8","28,8"
"Totaal goederen","EU (exclusief Nederland)","2021 augustus","19.155","30.065","10.910","24,2","31,2"
"Totaal goederen","EU (exclusief Nederland)","2021 september","22.463","34.375","11.912","24,0","29,1"
"Totaal goederen","EU (exclusief Nederland)","2021 oktober","22.543","35.455","12.912","22,9","27,8"
"Totaal goederen","EU (exclusief Nederland)","2021 november","24.122","37.174","13.052","28,7","36,9"
"Totaal goederen","EU (exclusief Nederland)","2021 december","24.056","36.035","11.979","28,3","40,1"
"Totaal goederen","EU (exclusief Nederland)","2021","253.026","384.878","131.852",".","."
"Totaal goederen","EU (exclusief Nederland)","2022 januari*","22.320","34.125","11.805",".","."
"Totaal goederen","EU (exclusief Nederland)","2022 februari*","22.546","32.984","10.438",".","."
"Totaal goederen","EU (exclusief Nederland)","2022 maart*","26.269","41.165","14.896",".","."
"Totaal goederen","EU (exclusief Nederland)","2022 april*","24.447","39.051","14.605",".","."
"Totaal goederen","Niet-EU","2021 mei","20.840","16.102","-4.738","32,1","31,4"
"Totaal goederen","Niet-EU","2021 juni","22.293","18.368","-3.925","24,6","27,0"
